Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Equatorial Guinea,GNQ,Population growth (annual %),SP.POP.GROW,3.40761945937311
Equatorial Guinea,GNQ,Population density (people per sq. km of land area),EN.POP.DNST,50.0172905525847
Eritrea,ERI,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
Eritrea,ERI,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Eritrea,ERI,Net migration,SM.POP.NETM,..
Eritrea,ERI,Population growth (annual %),SP.POP.GROW,..
Eritrea,ERI,Population density (people per sq. km of land area),EN.POP.DNST,35.1131386138614
Estonia,EST,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Estonia,EST,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Estonia,EST,Net migration,SM.POP.NETM,..
Estonia,EST,Population growth (annual %),SP.POP.GROW,0.312947615313683
Estonia,EST,Population density (people per sq. km of land area),EN.POP.DNST,30.6201288244767
Eswatini,SWZ,People practicing open defecation (% of population),SH.STA.ODFC.ZS,3.814014842
Eswatini,SWZ,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Eswatini,SWZ,Net migration,SM.POP.NETM,..
Eswatini,SWZ,Population growth (annual %),SP.POP.GROW,1.04242295901109
Eswatini,SWZ,Population density (people per sq. km of land area),EN.POP.DNST,67.4513953488372
Ethiopia,ETH,People practicing open defecation (% of population),SH.STA.ODFC.ZS,16.99517615
Ethiopia,ETH,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Ethiopia,ETH,Net migration,SM.POP.NETM,..
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,2.54138646419898
Ethiopia,ETH,Population density (people per sq. km of land area),EN.POP.DNST,101.800711323583
Faroe Islands,FRO,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
Faroe Islands,FRO,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Faroe Islands,FRO,Net migration,SM.POP.NETM,..
Faroe Islands,FRO,Population growth (annual %),SP.POP.GROW,0.385475452201148
Faroe Islands,FRO,Population density (people per sq. km of land area),EN.POP.DNST,35.0035816618911
Fiji,FJI,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Fiji,FJI,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Fiji,FJI,Net migration,SM.POP.NETM,..
Fiji,FJI,Population growth (annual %),SP.POP.GROW,0.726492630179755
Fiji,FJI,Population density (people per sq. km of land area),EN.POP.DNST,49.0664477285167
Finland,FIN,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Finland,FIN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Finland,FIN,Net migration,SM.POP.NETM,..
Finland,FIN,Population growth (annual %),SP.POP.GROW,0.164906516324292
Finland,FIN,Population density (people per sq. km of land area),EN.POP.DNST,18.1979435377731
France,FRA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
France,FRA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
France,FRA,Net migration,SM.POP.NETM,..
France,FRA,Population growth (annual %),SP.POP.GROW,0.211906588145578
France,FRA,Population density (people per sq. km of land area),EN.POP.DNST,123.076834009975
French Polynesia,PYF,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
French Polynesia,PYF,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
French Polynesia,PYF,Net migration,SM.POP.NETM,..
French Polynesia,PYF,Population growth (annual %),SP.POP.GROW,0.578020813572585
